unit_id;winner_found;winner_name;inn;customer_name;customer_inn;purchase_number;purchase_name;is_service_file;data_anonymized;confidence;processing_time_ms;model_used;timestamp
UNIT_0003d0406ba04012;True;ИП ЗАЙЦЕВА ОЛЬГА АЛЕКСАНДРОВНА;;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ САРАТОВСКОЙ ОБЛАСТИ ""КОМПЛЕКСНЫЙ ЦЕНТР СОЦИАЛЬНОГО ОБСЛУЖИВАНИЯ НАСЕЛЕНИЯ БАЛАКОВСКОГО РАЙОНА""";;32514520467;Поставка воды питьевой негазированной для кулера на 2025 год;False;;0.9;95634;GLM-4.7;
UNIT_0023196a575f42f3;True;Заявка №31666;;"МУНИЦИПАЛЬНОЕ АВТОНОМНОЕ ДОШКОЛЬНОЕ ОБРАЗОВАТЕЛЬНОЕ УЧРЕЖДЕНИЕ ГОРОДА КОГАЛЫМА ""БЕРЕЗКА""";8608040749;;Поставка продуктов питания (молоко);False;;0.7;36597;GLM-4.7;
UNIT_00248bc6e8f041bb;False;;;;;;;False;;;61094;GLM-4.7;
UNIT_0048d812e60348e1;False;;;"ООО ""Башкирэнерго""";;32615598814;"Поставка транспортера кабельного для ПО СВЭС ООО ""Башкирэнерго"" 26-001091";False;;;38072;GLM-4.7;
UNIT_0049c4b5e0ec4b1d;True;"ООО ""ФК ГАРЗА""";;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""РЕСПУБЛИКАНСКАЯ БОЛЬНИЦА №1 - НАЦИОНАЛЬНЫЙ ЦЕНТР МЕДИЦИНЫ ИМЕНИ М.Е. НИКОЛАЕВА""";;32615611858;Поставка лекарственных препаратов для лечения желудочно-кишечных заболеваний;False;;1.0;50413;GLM-4.7;
UNIT_007f372c385741d8;True;ООО «ТЕПЛОЭНЕРГО»;7802562208;АО «Выборгтеплоэнерго»;;;поставка – дизельного топлива ЕВРО, зимнее класса 2, экологического класса К5 (ДТ-З-К5), с доставкой;False;;1.0;36700;GLM-4.7;
UNIT_00ab06d679bb4879;True;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АГРОКОРМ""";;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ПТИЦЕФАБРИКА ""СВЕРДЛОВСКАЯ""";;32615605637;Поставка сои полножирной экструдированной, лот 1: Поставка сои полножирной экструдированной;False;;1.0;20965;GLM-4.7;
UNIT_00c2121968d54e43;True;"ООО ""НАДЕЖДА - СЕРВИС""";;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ САРАТОВСКОЙ ОБЛАСТИ """"ШИХАНСКИЙ ДОМ-ИНТЕРНАТ ДЛЯ ПРЕСТАРЕЛЫХ И ИНВАЛИДОВ";;32615612909;Техническое обслуживание технологического оборудования;False;;1.0;25808;GLM-4.7;
UNIT_00c8fb5644d44033;True;ИП Андриуца Марина Владимировна;382304841664;Государственное автономное учреждение дополнительного образования Мурманской области «Мурманская областная спортивная школа олимпийского резерва по зимним видам спорта»;;;Оказание услуг по проживанию во время проведения учебно-тренировочных мероприятий ГАУДОМО «МОСШОР по ЗВС» и участия в Первенстве России по биатлону;False;;1.0;26053;GLM-4.7;
UNIT_00cc31c304094233;True;Заявка №47091;;Государственное автономное учреждение здравоохранения Нижегородской области «Научно-исследовательский институт клинической онкологии «Нижегородский областной клинический онкологический диспансер»;;;Поставка стекол предметных;False;;0.7;48610;GLM-4.7;
UNIT_00d3e8a6230c4089;False;;;"краевое государственное бюджетное учреждение дом социального обслуживания ""Ачинский""";;32615604126;Проведение лабораторных исследований в рамках производственного контроля;False;;;21981;GLM-4.7;
UNIT_00d64b498be54ae9;False;;;АО «Россети Центр закупок»;;32515520621;оказание консультационных услуг в области применения МСФО;False;;;23424;GLM-4.7;
UNIT_00d7535b840a4dfd;True;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУРС""";;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""РЕМОНТЭНЕРГОМОНТАЖ И СЕРВИС""";;32515575512;Поставка ограничителей перенапряжения и заземлителей;False;;0.9;45193;GLM-4.7;
UNIT_00e3d1b457db4cfd;True;"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОЛОГИЯ - ТЮМЕНЬ""";7202211663;"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ЮГОРСКАЯ РЕГИОНАЛЬНАЯ ЭЛЕКТРОСЕТЕВАЯ КОМПАНИЯ""";;32515481168;Оказание услуг предрейсового, послерейсового медицинского осмотра водителей Кондинского филиала АО «ЮРЭСК» в пгт. Междуреченский, Кондинского района ХМАО-Югры.;False;;1.0;59614;GLM-4.7;
UNIT_00e3ecc6cd064cb1;False;;;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ ЗДРАВООХРАНЕНИЯ ""БРЯНСКАЯ ГОРОДСКАЯ БОЛЬНИЦА №1""";;32615602752;Поставка лекарственных препаратов для нужд ГАУЗ БГБ №1;False;;;24753;GLM-4.7;
UNIT_010a127ac2c943a0;True;Заявка №33560;;"Федеральное государственное бюджетное образовательное учреждение высшего образования ""Петербургский государственный университет путей сообщения Императора Александра I""";7812009592;;"Поставка оборудования для практического обучения информатизации в СПбТЖТ в рамках федерального проекта ""Профессионалитет""";False;;0.7;55512;GLM-4.7;
UNIT_01be33aa938d422e;True;Заявка №1;;ООО «ТЛЦ «Белый Раст»;;32615601886;устройство технических средств контроля за делящимися и радиоактивными материалами;False;;0.7;35241;GLM-4.7;
UNIT_020f8f07c8294d52;True;"ООО ""ИНТРЕЙД""";;"ГОСУДАРСТВЕННОЕ АВТОНОМНОЕ УЧРЕЖДЕНИЕ РЕСПУБЛИКИ САХА (ЯКУТИЯ) ""МЕГИНО-КАНГАЛАССКАЯ ЦЕНТРАЛЬНАЯ РАЙОННАЯ БОЛЬНИЦА""";;32515512858;"на поставку электрокардиографа для поликлиники для нужд ГАУ РС (Я) ""Мегино-Кангаласская ЦРБ""";False;;0.9;52954;GLM-4.7;
